[Thu Nov 29 02:12:41 EST 2018] [INFO]  Replica Server Start                   |
[Thu Nov 29 02:12:45 EST 2018] [INFO] Replica Recv Message                    |comp                                    |addCourse comp6231 winter               |
[Thu Nov 29 02:12:45 EST 2018] [INFO] Replica Recv Message                    |comp                                    |addCourse comp6281 winter               |
[Thu Nov 29 02:12:45 EST 2018] [INFO] Replica Recv Message                    |inse                                    |addCourse inse6320 winter               |
[Thu Nov 29 02:12:45 EST 2018] [INFO] Replica Recv Message                    |soen                                    |addCourse soen6441 winter               |
[Thu Nov 29 02:12:45 EST 2018] [INFO] Replica Recv Message                    |soen                                    |enrolCourse soens4444 inse6320 winter   |
[Thu Nov 29 02:12:50 EST 2018] [INFO] Replica Recv Message                    |soen                                    |enrolCourse soens4444 comp6231 winter   |
[Thu Nov 29 02:12:55 EST 2018] [INFO] Replica Recv Message                    |soen                                    |enrolCourse soens5555 comp6281 winter   |
[Thu Nov 29 02:13:00 EST 2018] [INFO] Replica Recv Message                    |soen                                    |enrolCourse soens5555 soen6441 winter   |
[Thu Nov 29 02:13:00 EST 2018] [INFO] Replica Recv Message                    |soen                                    |listCourseAvailability winter           |
[Thu Nov 29 02:13:10 EST 2018] [INFO] Replica Recv Message                    |soen                                    |enrolCourse soens1111 inse6320 winter   |
[Thu Nov 29 02:13:15 EST 2018] [INFO] Replica Recv Message                    |soen                                    |enrolCourse soens1111 comp6231 winter   |
[Thu Nov 29 02:13:20 EST 2018] [INFO] Replica Recv Message                    |soen                                    |enrolCourse soens1111 comp6281 winter   |
[Thu Nov 29 02:13:20 EST 2018] [INFO] Replica Recv Message                    |soen                                    |enrolCourse soens1111 soen6441 winter   |
[Thu Nov 29 02:13:20 EST 2018] [INFO] Replica Recv Message                    |inse                                    |enrolCourse inses1111 inse6320 winter   |
[Thu Nov 29 02:13:20 EST 2018] [INFO] Replica Recv Message                    |soen                                    |getClassSchedule soens1111              |
[Thu Nov 29 02:13:20 EST 2018] [INFO] Replica Recv Message                    |inse                                    |removeCourse inse6320 winter            |
[Thu Nov 29 02:13:30 EST 2018] [INFO] Replica Recv Message                    |soen                                    |listCourseAvailability winter           |
[Thu Nov 29 02:13:40 EST 2018] [INFO] Replica Recv Message                    |soen                                    |getClassSchedule soens1111              |
